Model,History,Background,Position,Correct
llama-3.1-8b-instant,with_history,cloud-mass,2,1
llama-3.1-8b-instant,with_history,cloud-mass,3,0
llama-3.1-8b-instant,with_history,cloud-mass,4,0
llama-3.1-8b-instant,with_history,rainfall-rates,1,0
llama-3.1-8b-instant,with_history,rainfall-rates,2,1
llama-3.1-8b-instant,with_history,rainfall-rates,3,1
llama-3.1-8b-instant,with_history,naep-read-fish,1,1
llama-3.1-8b-instant,with_history,naep-read-fish,2,0
llama-3.1-8b-instant,with_history,naep-read-fun,1,1
llama-3.1-8b-instant,with_history,naep-read-fun,2,1
llama-3.1-8b-instant,with_history,naep-read-fun,3,1
llama-3.1-8b-instant,with_history,naep-read-fun,4,1
llama-3.1-8b-instant,with_history,naep-read-fun,5,1
llama-3.1-8b-instant,with_history,naep-read-fun,6,1
llama-3.1-8b-instant,with_history,naep-read-meters,1,1
llama-3.1-8b-instant,with_history,naep-read-meters,2,1
llama-3.1-8b-instant,with_history,naep-read-meters,3,1
llama-3.1-8b-instant,with_history,naep-read-meters,4,1
llama-3.1-8b-instant,with_history,naep-read-meters,5,1
llama-3.1-8b-instant,with_history,naep-read-meters,6,1
llama-3.1-8b-instant,with_history,naep-read-shark,1,1
llama-3.1-8b-instant,with_history,naep-read-shark,2,1
llama-3.1-8b-instant,with_history,naep-read-shark,3,1
llama-3.1-8b-instant,with_history,naep-read-shark,4,1
llama-3.1-8b-instant,with_history,naep-read-shark,5,1
llama-3.1-8b-instant,with_history,naep-read-shark,6,1
llama-3.1-8b-instant,with_history,naep-read-alligator,1,1
llama-3.1-8b-instant,with_history,naep-read-alligator,2,1
llama-3.1-8b-instant,with_history,naep-read-alligator,3,1
llama-3.1-8b-instant,with_history,naep-read-alligator,4,1
gemini-2.0-flash-lite,with_history,nasa-tbl-orb,1,1
gemini-2.0-flash-lite,with_history,nasa-tbl-orb,2,1
gemini-2.0-flash-lite,with_history,nasa-tbl-orb,3,1
gemini-2.0-flash-lite,with_history,nasa-tbl-orb,4,1
gemini-2.0-flash-lite,with_history,nasa-tbl-orb,5,0
gemini-2.0-flash-lite,with_history,nasa-tbl-orb,6,0
gemini-2.0-flash-lite,with_history,nasa-flare-tbl,1,1
gemini-2.0-flash-lite,with_history,nasa-flare-tbl,2,1
gemini-2.0-flash-lite,with_history,nasa-flare-tbl,3,0
gemini-2.0-flash-lite,with_history,nasa-flare-tbl,4,0
gemini-2.0-flash-lite,with_history,nasa-flare-tbl,5,1
gemini-2.0-flash-lite,with_history,vector-roof-solar,1,1
gemini-2.0-flash-lite,with_history,vector-roof-solar,2,1
gemini-2.0-flash-lite,with_history,vector-roof-solar,3,0
gemini-2.0-flash-lite,with_history,vector-roof-solar,4,1
gemini-2.0-flash-lite,with_history,vector-roof-solar,5,0
gemini-2.0-flash-lite,with_history,vector-roof-solar,6,1
gemini-2.0-flash-lite,with_history,cloud-mass,1,1
gemini-2.0-flash-lite,with_history,cloud-mass,2,1
gemini-2.0-flash-lite,with_history,cloud-mass,3,0
gemini-2.0-flash-lite,with_history,cloud-mass,4,1
gemini-2.0-flash-lite,with_history,rainfall-rates,1,0
gemini-2.0-flash-lite,with_history,rainfall-rates,2,1
gemini-2.0-flash-lite,with_history,rainfall-rates,3,0
gemini-2.0-flash-lite,with_history,naep-read-fish,1,1
gemini-2.0-flash-lite,with_history,naep-read-fish,2,1
gemini-2.0-flash-lite,with_history,naep-read-fun,1,1
gemini-2.0-flash-lite,with_history,naep-read-fun,2,1
gemini-2.0-flash-lite,with_history,naep-read-fun,3,1
gemini-2.0-flash-lite,with_history,naep-read-fun,4,1
gemini-2.0-flash-lite,with_history,naep-read-fun,5,1
gemini-2.0-flash-lite,with_history,naep-read-fun,6,1
gemini-2.0-flash-lite,with_history,naep-read-meters,1,1
gemini-2.0-flash-lite,with_history,naep-read-meters,2,1
gemini-2.0-flash-lite,with_history,naep-read-meters,3,1
gemini-2.0-flash-lite,with_history,naep-read-meters,4,1
gemini-2.0-flash-lite,with_history,naep-read-meters,5,1
gemini-2.0-flash-lite,with_history,naep-read-meters,6,1
gemini-2.0-flash-lite,with_history,naep-read-shark,1,1
gemini-2.0-flash-lite,with_history,naep-read-shark,2,1
gemini-2.0-flash-lite,with_history,naep-read-shark,3,1
gemini-2.0-flash-lite,with_history,naep-read-shark,4,1
gemini-2.0-flash-lite,with_history,naep-read-shark,5,1
gemini-2.0-flash-lite,with_history,naep-read-shark,6,1
gemini-2.0-flash-lite,with_history,naep-read-alligator,1,1
gemini-2.0-flash-lite,with_history,naep-read-alligator,2,1
gemini-2.0-flash-lite,with_history,naep-read-alligator,3,1
gemini-2.0-flash-lite,with_history,naep-read-alligator,4,1
